1652555854.095747 client started (38791): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1652555854.095799 on Darwin 21.4.0 Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101
1652555854.096109 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1652555854.096145 flags are 0x18010000
1652555854.096155 socket is /private/tmp/tmux-501/default
1652555854.096168 trying connect
1652555854.096187 connect failed: Connection refused
1652555854.096204 lock file is /private/tmp/tmux-501/default.lock
1652555854.096292 flock succeeded
1652555854.096301 got lock (6)
1652555854.096310 trying connect
1652555854.096320 connect failed: Connection refused
1652555854.096674 add peer 0x128048000: 7 (0x0)
1652555854.098775 sending message 100 to peer 0x128048000 (4 bytes)
1652555854.098788 sending message 111 to peer 0x128048000 (8 bytes)
1652555854.098797 sending message 101 to peer 0x128048000 (15 bytes)
1652555854.098805 sending message 109 to peer 0x128048000 (4 bytes)
1652555854.098814 sending message 102 to peer 0x128048000 (13 bytes)
1652555854.098822 sending message 108 to peer 0x128048000 (26 bytes)
1652555854.098828 sending message 112 to peer 0x128048000 (58 bytes)
1652555854.098837 sending message 112 to peer 0x128048000 (5 bytes)
1652555854.098846 sending message 112 to peer 0x128048000 (5 bytes)
1652555854.098855 sending message 112 to peer 0x128048000 (6 bytes)
1652555854.098862 sending message 112 to peer 0x128048000 (6 bytes)
1652555854.098872 sending message 112 to peer 0x128048000 (11 bytes)
1652555854.098883 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.098892 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.098901 sending message 112 to peer 0x128048000 (14 bytes)
1652555854.098909 sending message 112 to peer 0x128048000 (19 bytes)
1652555854.098915 sending message 112 to peer 0x128048000 (11 bytes)
1652555854.098921 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.098928 sending message 112 to peer 0x128048000 (15 bytes)
1652555854.098936 sending message 112 to peer 0x128048000 (21 bytes)
1652555854.098944 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.098952 sending message 112 to peer 0x128048000 (7 bytes)
1652555854.098962 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.098969 sending message 112 to peer 0x128048000 (7 bytes)
1652555854.098976 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.098984 sending message 112 to peer 0x128048000 (9 bytes)
1652555854.098992 sending message 112 to peer 0x128048000 (21 bytes)
1652555854.099000 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099008 sending message 112 to peer 0x128048000 (9 bytes)
1652555854.099016 sending message 112 to peer 0x128048000 (16 bytes)
1652555854.099025 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099035 sending message 112 to peer 0x128048000 (9 bytes)
1652555854.099041 sending message 112 to peer 0x128048000 (9 bytes)
1652555854.099049 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099057 sending message 112 to peer 0x128048000 (8 bytes)
1652555854.099065 sending message 112 to peer 0x128048000 (8 bytes)
1652555854.099073 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099081 sending message 112 to peer 0x128048000 (7 bytes)
1652555854.099088 sending message 112 to peer 0x128048000 (7 bytes)
1652555854.099096 sending message 112 to peer 0x128048000 (9 bytes)
1652555854.099105 sending message 112 to peer 0x128048000 (9 bytes)
1652555854.099112 sending message 112 to peer 0x128048000 (15 bytes)
1652555854.099121 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099128 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099137 sending message 112 to peer 0x128048000 (8 bytes)
1652555854.099144 sending message 112 to peer 0x128048000 (14 bytes)
1652555854.099153 sending message 112 to peer 0x128048000 (11 bytes)
1652555854.099160 sending message 112 to peer 0x128048000 (9 bytes)
1652555854.099167 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.099189 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.099194 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.099199 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.099204 sending message 112 to peer 0x128048000 (11 bytes)
1652555854.099208 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099215 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099221 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099228 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099234 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099240 sending message 112 to peer 0x128048000 (11 bytes)
1652555854.099246 sending message 112 to peer 0x128048000 (11 bytes)
1652555854.099252 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099259 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099265 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099271 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099277 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099281 sending message 112 to peer 0x128048000 (9 bytes)
1652555854.099285 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099291 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099297 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099304 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099310 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099317 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099321 sending message 112 to peer 0x128048000 (8 bytes)
1652555854.099326 sending message 112 to peer 0x128048000 (11 bytes)
1652555854.099331 sending message 112 to peer 0x128048000 (11 bytes)
1652555854.099336 sending message 112 to peer 0x128048000 (11 bytes)
1652555854.099343 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099349 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099356 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099362 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099367 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099372 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099378 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099384 sending message 112 to peer 0x128048000 (8 bytes)
1652555854.099391 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099397 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099404 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099410 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099415 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099419 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099423 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099428 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099434 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099440 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099446 sending message 112 to peer 0x128048000 (8 bytes)
1652555854.099452 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099456 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099461 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099466 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099471 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099477 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099483 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099491 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099499 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099505 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099511 sending message 112 to peer 0x128048000 (8 bytes)
1652555854.099518 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099524 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099541 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099545 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099552 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099557 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099562 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099567 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099572 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099577 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099582 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.099588 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099594 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099599 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099603 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099609 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099613 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099618 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099623 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099628 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099633 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099638 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.099643 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099648 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099653 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099657 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099663 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.099667 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.099672 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.099677 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099682 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099687 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099694 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099699 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099704 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099710 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.099714 sending message 112 to peer 0x128048000 (11 bytes)
1652555854.099719 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099725 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099732 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099738 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099744 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099750 sending message 112 to peer 0x128048000 (11 bytes)
1652555854.099757 sending message 112 to peer 0x128048000 (12 bytes)
